llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
gpt-4,bb,14,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,21.68
gpt-3.5,bb,14,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,32.2
claude-3,bb,14,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,29.42
all,mathqa,14,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,33.15
gpt-4,mathqa,14,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,26.98
gpt-3.5,mathqa,14,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,34.06
claude-3,mathqa,14,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,33.45
all,all,15,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,31.69
gpt-4,all,15,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,23.58
gpt-3.5,all,15,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,33.19
claude-3,all,15,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,31.8
all,gsm,15,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,30.61
gpt-4,gsm,15,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,20.28
gpt-3.5,gsm,15,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,32.09
claude-3,gsm,15,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,31.15
all,bb,15,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,30.78
gpt-4,bb,15,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,22.65
gpt-3.5,bb,15,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,32.98
claude-3,bb,15,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,30.25
all,mathqa,15,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,33.68
gpt-4,mathqa,15,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,27.85
gpt-3.5,mathqa,15,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,34.52
claude-3,mathqa,15,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,33.99
